"BehaviorSpace results (NetLogo 6.2.0)"
"Klein_Assignment6_code.nlogo"
"blue_fertility_and_carrying_capacity"
"03/06/2021 15:07:11:218 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"4","500","2","2.1","112","112"
"2","500","2","2.1","121","121"
"3","500","2","2.1","165","165"
"7","500","2","2.1","81","81"
"6","500","2","2.1","179","179"
"5","500","2","2.1","212","212"
"9","500","2","2.1","118","118"
"8","500","2","2.1","185","185"
"10","500","2","2.1","125","125"
"12","500","2","2.2","81","81"
"11","500","2","2.2","112","112"
"13","500","2","2.2","88","88"
"15","500","2","2.2","56","56"
"14","500","2","2.2","91","91"
"16","500","2","2.2","68","68"
"17","500","2","2.2","98","98"
"1","500","2","2.1","111","111"
"19","500","2","2.2","105","105"
"20","500","2","2.2","45","45"
"18","500","2","2.2","155","155"
"22","500","2","2.3","62","62"
"23","500","2","2.3","47","47"
"24","500","2","2.3","54","54"
"25","500","2","2.3","44","44"
"26","500","2","2.3","47","47"
"29","500","2","2.3","43","43"
"28","500","2","2.3","70","70"
"27","500","2","2.3","91","91"
"31","500","2","2.4","33","33"
"30","500","2","2.3","53","53"
"32","500","2","2.4","46","46"
"33","500","2","2.4","34","34"
"34","500","2","2.4","33","33"
"35","500","2","2.4","45","45"
"37","500","2","2.4","41","41"
"36","500","2","2.4","65","65"
"38","500","2","2.4","40","40"
"39","500","2","2.4","39","39"
"41","500","2","2.5","31","31"
"40","500","2","2.4","49","49"
"42","500","2","2.5","35","35"
"43","500","2","2.5","37","37"
"44","500","2","2.5","35","35"
"45","500","2","2.5","37","37"
"47","500","2","2.5","26","26"
"48","500","2","2.5","26","26"
"46","500","2","2.5","34","34"
"49","500","2","2.5","25","25"
"51","500","2","2.6","25","25"
"50","500","2","2.5","34","34"
"21","500","2","2.3","79","79"
"53","500","2","2.6","39","39"
"52","500","2","2.6","38","38"
"54","500","2","2.6","37","37"
"57","500","2","2.6","24","24"
"56","500","2","2.6","29","29"
"58","500","2","2.6","48","48"
"59","500","2","2.6","36","36"
"60","500","2","2.6","35","35"
"61","500","2","2.7","18","18"
"63","500","2","2.7","26","26"
"62","500","2","2.7","31","31"
"64","500","2","2.7","24","24"
"65","500","2","2.7","23","23"
"66","500","2","2.7","29","29"
"67","500","2","2.7","34","34"
"68","500","2","2.7","23","23"
"69","500","2","2.7","21","21"
"55","500","2","2.6","28","28"
"71","500","2","2.8","24","24"
"72","500","2","2.8","21","21"
"70","500","2","2.7","32","32"
"74","500","2","2.8","21","21"
"75","500","2","2.8","28","28"
"76","500","2","2.8","29","29"
"77","500","2","2.8","18","18"
"78","500","2","2.8","29","29"
"79","500","2","2.8","29","29"
"80","500","2","2.8","31","31"
"82","500","2","2.9","22","22"
"83","500","2","2.9","29","29"
"81","500","2","2.9","27","27"
"84","500","2","2.9","19","19"
"73","500","2","2.8","21","21"
"85","500","2","2.9","20","20"
"87","500","2","2.9","16","16"
"86","500","2","2.9","22","22"
"89","500","2","2.9","21","21"
"91","500","2","3","17","17"
"90","500","2","2.9","27","27"
"93","500","2","3","17","17"
"92","500","2","3","21","21"
"94","500","2","3","22","22"
"95","500","2","3","20","20"
"96","500","2","3","29","29"
"97","500","2","3","26","26"
"98","500","2","3","19","19"
"99","500","2","3","20","20"
"100","500","2","3","18","18"
"101","500","2","3.1","23","23"
"102","500","2","3.1","17","17"
"103","500","2","3.1","22","22"
"104","500","2","3.1","21","21"
"105","500","2","3.1","16","16"
"106","500","2","3.1","13","13"
"107","500","2","3.1","17","17"
"108","500","2","3.1","18","18"
"109","500","2","3.1","21","21"
"110","500","2","3.1","16","16"
"111","500","2","3.2","21","21"
"113","500","2","3.2","17","17"
"112","500","2","3.2","22","22"
"88","500","2","2.9","32","32"
"114","500","2","3.2","23","23"
"116","500","2","3.2","12","12"
"115","500","2","3.2","23","23"
"119","500","2","3.2","17","17"
"118","500","2","3.2","21","21"
"120","500","2","3.2","13","13"
"121","500","2","3.3","15","15"
"122","500","2","3.3","15","15"
"123","500","2","3.3","20","20"
"124","500","2","3.3","18","18"
"125","500","2","3.3","18","18"
"126","500","2","3.3","16","16"
"128","500","2","3.3","12","12"
"127","500","2","3.3","16","16"
"117","500","2","3.2","16","16"
"129","500","2","3.3","16","16"
"130","500","2","3.3","15","15"
"131","500","2","3.4","15","15"
"133","500","2","3.4","16","16"
"134","500","2","3.4","17","17"
"135","500","2","3.4","20","20"
"136","500","2","3.4","17","17"
"137","500","2","3.4","13","13"
"138","500","2","3.4","14","14"
"139","500","2","3.4","17","17"
"141","500","2","3.5","16","16"
"140","500","2","3.4","22","22"
"142","500","2","3.5","11","11"
"132","500","2","3.4","13","13"
"143","500","2","3.5","15","15"
"144","500","2","3.5","17","17"
"145","500","2","3.5","14","14"
"147","500","2","3.5","13","13"
"149","500","2","3.5","15","15"
"148","500","2","3.5","17","17"
"150","500","2","3.5","16","16"
"152","500","2","3.6","12","12"
"151","500","2","3.6","17","17"
"154","500","2","3.6","14","14"
"153","500","2","3.6","17","17"
"155","500","2","3.6","18","18"
"146","500","2","3.5","13","13"
"156","500","2","3.6","14","14"
"157","500","2","3.6","15","15"
"158","500","2","3.6","15","15"
"160","500","2","3.6","12","12"
"161","500","2","3.7","11","11"
"163","500","2","3.7","12","12"
"162","500","2","3.7","15","15"
"164","500","2","3.7","14","14"
"166","500","2","3.7","12","12"
"165","500","2","3.7","14","14"
"167","500","2","3.7","13","13"
"169","500","2","3.7","10","10"
"168","500","2","3.7","18","18"
"170","500","2","3.7","15","15"
"171","500","2","3.8","14","14"
"172","500","2","3.8","16","16"
"173","500","2","3.8","11","11"
"159","500","2","3.6","16","16"
"174","500","2","3.8","15","15"
"176","500","2","3.8","11","11"
"175","500","2","3.8","13","13"
"178","500","2","3.8","17","17"
"179","500","2","3.8","17","17"
"180","500","2","3.8","14","14"
"181","500","2","3.9","10","10"
"182","500","2","3.9","12","12"
"184","500","2","3.9","11","11"
"183","500","2","3.9","16","16"
"185","500","2","3.9","12","12"
"177","500","2","3.8","10","10"
"186","500","2","3.9","14","14"
"187","500","2","3.9","14","14"
"188","500","2","3.9","14","14"
"190","500","2","3.9","12","12"
"191","500","2","4","14","14"
"192","500","2","4","11","11"
"193","500","2","4","15","15"
"194","500","2","4","13","13"
"195","500","2","4","13","13"
"196","500","2","4","13","13"
"197","500","2","4","11","11"
"198","500","2","4","14","14"
"199","500","2","4","12","12"
"200","500","2","4","13","13"
"201","500","2","4.1","10","10"
"189","500","2","3.9","12","12"
"202","500","2","4.1","12","12"
"203","500","2","4.1","11","11"
"204","500","2","4.1","14","14"
"206","500","2","4.1","9","9"
"207","500","2","4.1","18","18"
"209","500","2","4.1","11","11"
"208","500","2","4.1","12","12"
"210","500","2","4.1","14","14"
"211","500","2","4.2","14","14"
"212","500","2","4.2","16","16"
"213","500","2","4.2","10","10"
"214","500","2","4.2","11","11"
"215","500","2","4.2","9","9"
"205","500","2","4.1","12","12"
"216","500","2","4.2","14","14"
"217","500","2","4.2","13","13"
"218","500","2","4.2","14","14"
"220","500","2","4.2","13","13"
"221","500","2","4.3","11","11"
"222","500","2","4.3","8","8"
"225","500","2","4.3","9","9"
"224","500","2","4.3","12","12"
"223","500","2","4.3","12","12"
"228","500","2","4.3","8","8"
"226","500","2","4.3","12","12"
"227","500","2","4.3","15","15"
"229","500","2","4.3","11","11"
"231","500","2","4.4","9","9"
"230","500","2","4.3","13","13"
"232","500","2","4.4","10","10"
"234","500","2","4.4","10","10"
"219","500","2","4.2","16","16"
"233","500","2","4.4","16","16"
"235","500","2","4.4","10","10"
"236","500","2","4.4","10","10"
"239","500","2","4.4","12","12"
"238","500","2","4.4","13","13"
"240","500","2","4.4","8","8"
"241","500","2","4.5","10","10"
"242","500","2","4.5","10","10"
"243","500","2","4.5","11","11"
"244","500","2","4.5","11","11"
"245","500","2","4.5","12","12"
"246","500","2","4.5","11","11"
"247","500","2","4.5","12","12"
"248","500","2","4.5","10","10"
"237","500","2","4.4","11","11"
"249","500","2","4.5","14","14"
"250","500","2","4.5","10","10"
"251","500","2","4.6","12","12"
"253","500","2","4.6","10","10"
"254","500","2","4.6","9","9"
"255","500","2","4.6","13","13"
"256","500","2","4.6","11","11"
"257","500","2","4.6","9","9"
"259","500","2","4.6","8","8"
"258","500","2","4.6","12","12"
"260","500","2","4.6","13","13"
"252","500","2","4.6","9","9"
"261","500","2","4.7","11","11"
"262","500","2","4.7","10","10"
"263","500","2","4.7","12","12"
"265","500","2","4.7","9","9"
"266","500","2","4.7","9","9"
"267","500","2","4.7","9","9"
"268","500","2","4.7","14","14"
"269","500","2","4.7","10","10"
"270","500","2","4.7","13","13"
"272","500","2","4.8","11","11"
"264","500","2","4.7","11","11"
"271","500","2","4.8","17","17"
"273","500","2","4.8","14","14"
"276","500","2","4.8","9","9"
"274","500","2","4.8","15","15"
"277","500","2","4.8","9","9"
"275","500","2","4.8","7","7"
"278","500","2","4.8","9","9"
"280","500","2","4.8","9","9"
"279","500","2","4.8","9","9"
"282","500","2","4.9","11","11"
"283","500","2","4.9","11","11"
"284","500","2","4.9","11","11"
"285","500","2","4.9","9","9"
"287","500","2","4.9","10","10"
"286","500","2","4.9","10","10"
"281","500","2","4.9","13","13"
"288","500","2","4.9","11","11"
"289","500","2","4.9","10","10"
"290","500","2","4.9","11","11"
"292","500","2","5","10","10"
"293","500","2","5","10","10"
"294","500","2","5","10","10"
"295","500","2","5","12","12"
"296","500","2","5","8","8"
"297","500","2","5","12","12"
"298","500","2","5","9","9"
"291","500","2","5","11","11"
"300","500","2","5","13","13"
"299","500","2","5","18","18"
"301","1000","2","2.1","109","109"
"303","1000","2","2.1","184","184"
"305","1000","2","2.1","124","124"
"304","1000","2","2.1","318","318"
"306","1000","2","2.1","141","141"
"307","1000","2","2.1","179","179"
"308","1000","2","2.1","135","135"
"309","1000","2","2.1","160","160"
"311","1000","2","2.2","86","86"
"302","1000","2","2.1","189","189"
"312","1000","2","2.2","88","88"
"313","1000","2","2.2","54","54"
"315","1000","2","2.2","84","84"
"316","1000","2","2.2","83","83"
"310","1000","2","2.1","331","331"
"317","1000","2","2.2","95","95"
"314","1000","2","2.2","66","66"
"318","1000","2","2.2","92","92"
"319","1000","2","2.2","83","83"
"320","1000","2","2.2","70","70"
"322","1000","2","2.3","48","48"
"323","1000","2","2.3","60","60"
"324","1000","2","2.3","57","57"
"325","1000","2","2.3","64","64"
"326","1000","2","2.3","65","65"
"328","1000","2","2.3","57","57"
"327","1000","2","2.3","81","81"
"329","1000","2","2.3","51","51"
"321","1000","2","2.3","70","70"
"330","1000","2","2.3","44","44"
"332","1000","2","2.4","42","42"
"331","1000","2","2.4","67","67"
"334","1000","2","2.4","53","53"
"336","1000","2","2.4","51","51"
"335","1000","2","2.4","59","59"
"337","1000","2","2.4","58","58"
"339","1000","2","2.4","44","44"
"333","1000","2","2.4","58","58"
"338","1000","2","2.4","61","61"
"340","1000","2","2.4","41","41"
"341","1000","2","2.5","34","34"
"343","1000","2","2.5","47","47"
"344","1000","2","2.5","42","42"
"346","1000","2","2.5","31","31"
"347","1000","2","2.5","39","39"
"345","1000","2","2.5","58","58"
"342","1000","2","2.5","53","53"
"348","1000","2","2.5","38","38"
"349","1000","2","2.5","36","36"
"350","1000","2","2.5","56","56"
"353","1000","2","2.6","27","27"
"352","1000","2","2.6","50","50"
"351","1000","2","2.6","30","30"
"354","1000","2","2.6","34","34"
"355","1000","2","2.6","43","43"
"356","1000","2","2.6","43","43"
"358","1000","2","2.6","34","34"
"359","1000","2","2.6","33","33"
