"BehaviorSpace results (NetLogo 6.2.0)"
"Klein_Assignment6_code.nlogo"
"blue_fertility_effect_on_red_extinction"
"03/06/2021 14:43:34:118 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"3","1000","2","2.1","177","177"
"4","1000","2","2.1","185","185"
"2","1000","2","2.1","203","203"
"5","1000","2","2.1","136","136"
"6","1000","2","2.1","173","173"
"7","1000","2","2.1","172","172"
"10","1000","2","2.1","109","109"
"9","1000","2","2.1","170","170"
"1","1000","2","2.1","181","181"
"11","1000","2","2.2","60","60"
"8","1000","2","2.1","231","231"
"12","1000","2","2.2","64","64"
"14","1000","2","2.2","83","83"
"15","1000","2","2.2","82","82"
"16","1000","2","2.2","77","77"
"18","1000","2","2.2","108","108"
"17","1000","2","2.2","109","109"
"19","1000","2","2.2","84","84"
"13","1000","2","2.2","76","76"
"20","1000","2","2.2","64","64"
"21","1000","2","2.3","67","67"
"22","1000","2","2.3","81","81"
"24","1000","2","2.3","54","54"
"25","1000","2","2.3","61","61"
"27","1000","2","2.3","48","48"
"26","1000","2","2.3","79","79"
"28","1000","2","2.3","58","58"
"29","1000","2","2.3","63","63"
"23","1000","2","2.3","63","63"
"31","1000","2","2.4","39","39"
"30","1000","2","2.3","73","73"
"32","1000","2","2.4","46","46"
"34","1000","2","2.4","41","41"
"35","1000","2","2.4","40","40"
"37","1000","2","2.4","35","35"
"36","1000","2","2.4","40","40"
"38","1000","2","2.4","45","45"
"39","1000","2","2.4","40","40"
"40","1000","2","2.4","38","38"
"33","1000","2","2.4","47","47"
"41","1000","2","2.5","46","46"
"43","1000","2","2.5","38","38"
"42","1000","2","2.5","49","49"
"46","1000","2","2.5","32","32"
"45","1000","2","2.5","45","45"
"47","1000","2","2.5","37","37"
"48","1000","2","2.5","34","34"
"49","1000","2","2.5","39","39"
"50","1000","2","2.5","37","37"
"44","1000","2","2.5","45","45"
"51","1000","2","2.6","46","46"
"53","1000","2","2.6","30","30"
"52","1000","2","2.6","62","62"
"55","1000","2","2.6","31","31"
"56","1000","2","2.6","37","37"
"57","1000","2","2.6","33","33"
"58","1000","2","2.6","36","36"
"54","1000","2","2.6","32","32"
"59","1000","2","2.6","42","42"
"60","1000","2","2.6","33","33"
"61","1000","2","2.7","34","34"
"63","1000","2","2.7","30","30"
"64","1000","2","2.7","34","34"
"65","1000","2","2.7","28","28"
"62","1000","2","2.7","26","26"
"66","1000","2","2.7","34","34"
"67","1000","2","2.7","25","25"
"68","1000","2","2.7","36","36"
"71","1000","2","2.8","30","30"
"70","1000","2","2.7","38","38"
"72","1000","2","2.8","26","26"
"73","1000","2","2.8","28","28"
"74","1000","2","2.8","36","36"
"75","1000","2","2.8","25","25"
"76","1000","2","2.8","26","26"
"69","1000","2","2.7","39","39"
"77","1000","2","2.8","27","27"
"78","1000","2","2.8","35","35"
"79","1000","2","2.8","27","27"
"81","1000","2","2.9","26","26"
"83","1000","2","2.9","22","22"
"82","1000","2","2.9","27","27"
"84","1000","2","2.9","22","22"
"85","1000","2","2.9","21","21"
"86","1000","2","2.9","20","20"
"87","1000","2","2.9","24","24"
"80","1000","2","2.8","31","31"
"89","1000","2","2.9","25","25"
"88","1000","2","2.9","28","28"
"90","1000","2","2.9","24","24"
"92","1000","2","3","21","21"
"93","1000","2","3","25","25"
"94","1000","2","3","19","19"
"95","1000","2","3","23","23"
"97","1000","2","3","17","17"
"91","1000","2","3","26","26"
"96","1000","2","3","35","35"
"98","1000","2","3","22","22"
"99","1000","2","3","28","28"
"101","1000","2","3.1","20","20"
"102","1000","2","3.1","22","22"
"100","1000","2","3","18","18"
"103","1000","2","3.1","27","27"
"105","1000","2","3.1","24","24"
"104","1000","2","3.1","37","37"
"107","1000","2","3.1","21","21"
"108","1000","2","3.1","18","18"
"109","1000","2","3.1","21","21"
"111","1000","2","3.2","22","22"
"110","1000","2","3.1","25","25"
"106","1000","2","3.1","22","22"
"112","1000","2","3.2","20","20"
"113","1000","2","3.2","24","24"
"114","1000","2","3.2","25","25"
"116","1000","2","3.2","20","20"
"115","1000","2","3.2","13","13"
"117","1000","2","3.2","23","23"
"118","1000","2","3.2","23","23"
"119","1000","2","3.2","23","23"
"121","1000","2","3.3","16","16"
"122","1000","2","3.3","18","18"
"123","1000","2","3.3","16","16"
"120","1000","2","3.2","16","16"
"125","1000","2","3.3","21","21"
"126","1000","2","3.3","20","20"
"124","1000","2","3.3","31","31"
"128","1000","2","3.3","18","18"
"129","1000","2","3.3","21","21"
"130","1000","2","3.3","15","15"
"131","1000","2","3.4","16","16"
"127","1000","2","3.3","25","25"
"133","1000","2","3.4","15","15"
"132","1000","2","3.4","19","19"
"136","1000","2","3.4","17","17"
"134","1000","2","3.4","25","25"
"137","1000","2","3.4","18","18"
"138","1000","2","3.4","15","15"
"139","1000","2","3.4","14","14"
"140","1000","2","3.4","19","19"
"135","1000","2","3.4","21","21"
"142","1000","2","3.5","17","17"
"143","1000","2","3.5","15","15"
"141","1000","2","3.5","23","23"
"146","1000","2","3.5","16","16"
"147","1000","2","3.5","18","18"
"145","1000","2","3.5","23","23"
"149","1000","2","3.5","13","13"
"148","1000","2","3.5","22","22"
"150","1000","2","3.5","20","20"
"144","1000","2","3.5","22","22"
"151","1000","2","3.6","17","17"
"152","1000","2","3.6","14","14"
"153","1000","2","3.6","25","25"
"155","1000","2","3.6","16","16"
"156","1000","2","3.6","19","19"
"154","1000","2","3.6","17","17"
"158","1000","2","3.6","13","13"
"157","1000","2","3.6","18","18"
"159","1000","2","3.6","16","16"
"161","1000","2","3.7","17","17"
"162","1000","2","3.7","17","17"
"163","1000","2","3.7","15","15"
"160","1000","2","3.6","15","15"
"164","1000","2","3.7","15","15"
"165","1000","2","3.7","16","16"
"166","1000","2","3.7","19","19"
"168","1000","2","3.7","14","14"
"169","1000","2","3.7","15","15"
"170","1000","2","3.7","14","14"
"171","1000","2","3.8","13","13"
"167","1000","2","3.7","18","18"
"172","1000","2","3.8","17","17"
"173","1000","2","3.8","12","12"
"174","1000","2","3.8","13","13"
"177","1000","2","3.8","15","15"
"176","1000","2","3.8","18","18"
"178","1000","2","3.8","18","18"
"179","1000","2","3.8","13","13"
"175","1000","2","3.8","16","16"
"180","1000","2","3.8","15","15"
"181","1000","2","3.9","14","14"
"184","1000","2","3.9","15","15"
"182","1000","2","3.9","22","22"
"185","1000","2","3.9","16","16"
"186","1000","2","3.9","19","19"
"187","1000","2","3.9","17","17"
"188","1000","2","3.9","14","14"
"183","1000","2","3.9","20","20"
"189","1000","2","3.9","16","16"
"191","1000","2","4","16","16"
"190","1000","2","3.9","16","16"
"195","1000","2","4","13","13"
"194","1000","2","4","15","15"
"193","1000","2","4","18","18"
"192","1000","2","4","16","16"
"197","1000","2","4","13","13"
"196","1000","2","4","13","13"
"198","1000","2","4","17","17"
"199","1000","2","4","12","12"
"201","1000","2","4.1","14","14"
"200","1000","2","4","16","16"
"202","1000","2","4.1","16","16"
"205","1000","2","4.1","12","12"
"204","1000","2","4.1","17","17"
"206","1000","2","4.1","15","15"
"203","1000","2","4.1","13","13"
"207","1000","2","4.1","14","14"
"208","1000","2","4.1","14","14"
"209","1000","2","4.1","16","16"
"211","1000","2","4.2","14","14"
"210","1000","2","4.1","12","12"
"212","1000","2","4.2","12","12"
"213","1000","2","4.2","15","15"
"214","1000","2","4.2","11","11"
"216","1000","2","4.2","14","14"
"217","1000","2","4.2","15","15"
"218","1000","2","4.2","15","15"
"215","1000","2","4.2","13","13"
"219","1000","2","4.2","11","11"
"220","1000","2","4.2","12","12"
"221","1000","2","4.3","12","12"
"223","1000","2","4.3","13","13"
"224","1000","2","4.3","11","11"
"225","1000","2","4.3","11","11"
"226","1000","2","4.3","13","13"
"222","1000","2","4.3","15","15"
"227","1000","2","4.3","10","10"
"228","1000","2","4.3","16","16"
"231","1000","2","4.4","11","11"
"229","1000","2","4.3","17","17"
"230","1000","2","4.3","11","11"
"232","1000","2","4.4","12","12"
"233","1000","2","4.4","13","13"
"234","1000","2","4.4","11","11"
"236","1000","2","4.4","11","11"
"238","1000","2","4.4","11","11"
"237","1000","2","4.4","19","19"
"239","1000","2","4.4","11","11"
"235","1000","2","4.4","13","13"
"240","1000","2","4.4","11","11"
"241","1000","2","4.5","13","13"
"242","1000","2","4.5","13","13"
